id,log_price,property_type,room_type,amenities,accommodates,bathrooms,bed_type,cancellation_policy,cleaning_fee,city,description,host_has_profile_pic,host_identity_verified,host_since,instant_bookable,latitude,longitude,name,number_of_reviews,thumbnail_url,zipcode,bedrooms,beds;;;;
5806687,4.700480365792417,Apartment,Entire home/apt,{},1.0,1.0,Real Bed,flexible,False,NYC,A beautiful New York City Studio Apartment located in Chelsea. Close to 5th Avenue shopping and Union Square Park.  4th floor walk-up. Full Bathroom Full Kitchen Internet Included Close to all subway lines Quiet guess and non-smokers only,t,t,2014-04-06,f,40.7394219185388,-73.99628925063296,Studio apartment Chelsea NYC,0.0,https://a0.muscache.com/im/pictures/4ae85551-f8f1-4f2b-a633-1b99dc6657ee.jpg?aki_policy=small,10011.0,0.0,1.0;;;;
20075726,3.688879454113936,House,Shared room,{},1.0,1.0,Real Bed,flexible,False,LA,Small couch near the colleges in Long Beach,t,f,2016-08-14,f,33.8634715349287,-118.12342564564403,Small couch,0.0,https://a0.muscache.com/im/pictures/562117d5-cce2-489c-8b70-cf0dc413e1d0.jpg?aki_policy=small,90713.0,1.0,1.0;;;;
16050332,3.9889840465642745,House,Private room,{},1.0,1.0,Real Bed,flexible,False,SF,description,t,f,2017-01-06,t,37.779605483657456,-122.41655728492732,listing,0.0,https://a0.muscache.com/im/pictures/a8ee2fd4-a634-4356-96e2-034e191c95a8.jpg?aki_policy=small,94102.0,0.0,1.0;;;;
11824444,3.912023005428147,Apartment,Private room,{},2.0,1.0,Real Bed,flexible,False,NYC,There are 2 big windows and plenty of natural light. Our kitchen is spacious and lovely. Our bathroom also has a fancy tub separated from the shower.,t,t,2015-06-24,f,40.68681728922153,-73.92018737201644,Room for rent shared bathroom,0.0,https://a0.muscache.com/im/pictures/90861196/4c57ed2e_original.jpg?aki_policy=small,11221.0,1.0,1.0;;;;
130565,5.010635294096256,House,Private room,{},2.0,1.0,Real Bed,flexible,False,LA,Fresh accommodations,t,f,2016-10-08,f,33.80415893814013,-118.1127177073978,Luscious private room,0.0,https://a0.muscache.com/im/pictures/ebe0b6bc-4a48-4ffe-bd39-dd2e124ac44d.jpg?aki_policy=small,90815.0,1.0,1.0;;;;
16230722,4.02535169073515,Apartment,Private room,{},1.0,1.0,Real Bed,flexible,False,SF,Test,t,t,2015-03-21,t,37.75201767234326,-122.44337910894328,Test,0.0,https://a0.muscache.com/im/pictures/4e89a20d-d0b3-49d9-aa2b-23a374735d1c.jpg?aki_policy=small,94131.0,1.0,1.0;;;;
7809701,4.787491742782046,Apartment,Private room,{},2.0,1.0,Real Bed,flexible,False,SF,Furnished 1 bedroom in a 2 bedroom apt. The bedroom has its own private bathroom and a very large closet. The room offers spectacular views of San Francisco. The building has a gym &  bbq area.,t,f,2014-08-09,t,37.76911000754381,-122.41193446152616,Sunlit and modern apartment in SOMA,1.0,https://a0.muscache.com/im/pictures/90872254/ebba9526_original.jpg?aki_policy=small,94103.0,1.0,1.0;;;;
74680,4.48863636973214,House,Private room,{},2.0,1.0,Real Bed,flexible,False,LA,Quiet place with all the facilities. 2 min  to bus stop .5 min to lots of restaurants and 10 min to Santa anita race track and shopping mall.  20min to Los Angeles down town. It's a private room with a small backyard.  Attached full bathroom.  Cal king bed. Guest can use main entrance. Even we can help our guests for other necessaries too. Quiet and very convenience place .. 2 min to bus stop. 5 min all the restaurant in town. 10 min to Santa Anita race track and shopping mall.  Even you can go hiking in 5 min.,t,f,2015-03-12,t,34.14031241612734,-117.9469565680522,It's a house with small back yard.,1.0,https://a0.muscache.com/im/pictures/dcf9cf29-90e0-4063-b644-665ea4786410.jpg?aki_policy=small,91010.0,1.0,1.0;;;;
928004,4.605170185988092,Apartment,Shared room,{},1.0,1.0,Real Bed,flexible,False,NYC,Need a place to stay in NYC?? Great location upper east side.  Friendly host :). Access to entire apartment as my roommate. I live here and am here often,t,t,2016-04-04,f,40.763182658398335,-73.96107563360941,Comfy couch. Upper east side,1.0,https://a0.muscache.com/im/pictures/387bc5bc-9891-4cb4-ab0c-82d27880f993.jpg?aki_policy=small,10065.0,1.0,1.0;;;;
7632690,5.1647859739235145,House,Private room,{},1.0,1.0,Real Bed,flexible,False,LA,If you are looking for a quiet home within the hills in a safe part of town with just a walk away from all the best LA cafe's/restaurants/bars then this is an AMAZING place to stay with a large rooftop and a hammock for afternoon lounges in the sun.,t,t,2015-07-07,f,34.084259754673255,-118.27350911389556,Silverlake Hills Home with View,2.0,https://a0.muscache.com/im/pictures/91631499/f308f3f1_original.jpg?aki_policy=small,90026.0,1.0,1.0;;;;
